Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Hour
2024-10-25,16:24:48,"""CNR5785058""",Cancelled by Customer,"""CID7525538""",Go Sedan,Ashok Park Main,Rohini East,18.7,0.0,1.0,Change of plans,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-10-03,06:15:38,"""CNR5259986""",Completed,"""CID9828317""",Go Sedan,Samaypur Badli,Hero Honda Chowk,4.2,30.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,269.0,47.17,4.4,3.9,Cash,-1
2024-12-07,15:35:47,"""CNR1351335""",Completed,"""CID9426219""",Go Mini,Gurgaon Sector 29,Lajpat Nagar,11.3,35.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,352.0,9.57,4.3,4.3,Cash,-1
2024-12-06,21:05:39,"""CNR2033265""",Completed,"""CID6253371""",Go Mini,Sonipat,Rohini,8.7,42.9,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,313.0,48.18,4.3,5.0,UPI,-1
2024-12-03,09:55:48,"""CNR4076785""",Completed,"""CID4419792""",Premier Sedan,Shastri Park,Sarai Kale Khan,3.5,19.1,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,365.0,12.06,3.9,3.8,Uber Wallet,-1
2024-05-30,14:52:48,"""CNR8894376""",Completed,"""CID3051177""",Auto,Akshardham,Noida Sector 62,2.3,25.7,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,638.0,24.28,4.2,4.3,UPI,-1
2024-12-27,13:05:11,"""CNR4338511""",No Driver Found,"""CID5489012""",Go Mini,Rajiv Nagar,Badarpur,0.0,0.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,0.0,0.0,0.0,0.0,Desconocido,-1
2024-05-19,15:21:24,"""CNR1726678""",Completed,"""CID2637835""",Go Mini,Noida Film City,Vishwavidyalaya,11.4,26.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,887.0,19.4,4.3,3.3,Uber Wallet,-1
2024-12-25,08:36:52,"""CNR2600511""",Completed,"""CID9938842""",Go Mini,Sarai Kale Khan,Laxmi Nagar,14.2,19.0,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,221.0,13.83,4.1,4.5,Cash,-1
2024-09-12,13:43:58,"""CNR2717765""",Completed,"""CID6981040""",Premier Sedan,Connaught Place,Meerut,13.1,27.2,0.0,Desconocido,0.0,Desconocido,0.0,Desconocido,367.0,38.51,3.2,4.4,Uber Wallet,-1
